Name,\\pi3\LR09144901L%P2O5
Data Type,Float 32
Number of Values,15790
Time,Value,Value Attributes
19-Jun-2023 16:33:07.01353,15.75
19-Jun-2023 16:23:07.01353,15.75
19-Jun-2023 16:13:07.01353,15.75
19-Jun-2023 16:03:07.01353,15.75
19-Jun-2023 15:53:07.01353,15.75
19-Jun-2023 15:43:07.01353,15.75
19-Jun-2023 15:33:07.01353,15.75
19-Jun-2023 15:23:07.01353,15.75
19-Jun-2023 15:13:07.01353,15.75
19-Jun-2023 15:03:07.01353,15.75
19-Jun-2023 14:53:07.01353,15.75
19-Jun-2023 14:43:07.01353,15.75
19-Jun-2023 14:33:07.01353,15.75
19-Jun-2023 14:23:07.01353,15.75
19-Jun-2023 14:13:07.01353,15.75
19-Jun-2023 14:03:07.01353,15.75
19-Jun-2023 13:53:07.01353,15.75
19-Jun-2023 13:43:07.01353,15.75
19-Jun-2023 13:33:07.01353,15.75
19-Jun-2023 13:23:07.01353,15.75
19-Jun-2023 13:13:07.01353,15.75
19-Jun-2023 13:03:07.01353,15.75
19-Jun-2023 12:53:07.01353,15.75
19-Jun-2023 12:43:07.01353,15.75
19-Jun-2023 12:33:07.01353,15.75
19-Jun-2023 12:23:07.01353,15.75
19-Jun-2023 12:13:07.01353,15.75
19-Jun-2023 12:03:07.01353,15.75
19-Jun-2023 11:58:04.09544,15.65
19-Jun-2023 11:48:04.09544,15.65
19-Jun-2023 11:38:04.09544,15.65
19-Jun-2023 11:28:04.09544,15.65
19-Jun-2023 11:18:04.09544,15.65
19-Jun-2023 11:08:04.09544,15.65
19-Jun-2023 10:58:04.09544,15.65
19-Jun-2023 10:48:04.09544,15.65
19-Jun-2023 10:38:04.09544,15.65
19-Jun-2023 10:28:04.09544,15.65
19-Jun-2023 10:18:04.09544,15.65
19-Jun-2023 10:08:04.09544,15.65
19-Jun-2023 09:58:04.09544,15.65
19-Jun-2023 09:48:04.09544,15.65
19-Jun-2023 09:46:07.79031,15.60
19-Jun-2023 09:36:07.79031,15.60
19-Jun-2023 09:26:07.79031,15.60
19-Jun-2023 09:16:07.79031,15.60
19-Jun-2023 09:06:07.79031,15.60
19-Jun-2023 08:56:07.79031,15.60
19-Jun-2023 08:46:07.79031,15.60
19-Jun-2023 08:36:07.79031,15.60
19-Jun-2023 08:26:07.79031,15.60
19-Jun-2023 08:16:07.79031,15.60
19-Jun-2023 08:06:07.79031,15.60
19-Jun-2023 07:56:07.79031,15.60
19-Jun-2023 07:46:07.79031,15.60
19-Jun-2023 07:36:07.79031,15.60
19-Jun-2023 07:26:07.79031,15.60
19-Jun-2023 07:16:07.79031,15.60
19-Jun-2023 07:06:07.79031,15.60
19-Jun-2023 06:56:07.79031,15.60
19-Jun-2023 06:46:07.79031,15.60
19-Jun-2023 06:36:07.79031,15.60
19-Jun-2023 06:26:07.79031,15.60
19-Jun-2023 06:16:07.79031,15.60
19-Jun-2023 06:06:07.79031,15.60
19-Jun-2023 05:56:43.78748,15.70
19-Jun-2023 05:46:43.78748,15.70
19-Jun-2023 05:36:43.78748,15.70
19-Jun-2023 05:26:43.78748,15.70
19-Jun-2023 05:16:43.78748,15.70
19-Jun-2023 05:06:43.78748,15.70
19-Jun-2023 04:56:43.78748,15.70
19-Jun-2023 04:46:43.78748,15.70
19-Jun-2023 04:36:43.78748,15.70
19-Jun-2023 04:26:43.78748,15.70
19-Jun-2023 04:16:43.78748,15.70
19-Jun-2023 04:06:43.78748,15.70
19-Jun-2023 03:56:43.78748,15.70
19-Jun-2023 03:50:36.94009,15.60
19-Jun-2023 03:40:36.94009,15.60
19-Jun-2023 03:30:36.94009,15.60
19-Jun-2023 03:20:36.94009,15.60
19-Jun-2023 03:10:36.94009,15.60
19-Jun-2023 03:00:36.94009,15.60
19-Jun-2023 02:50:36.94009,15.60
19-Jun-2023 02:40:36.94009,15.60
19-Jun-2023 02:30:36.94009,15.60
19-Jun-2023 02:20:36.94009,15.60
19-Jun-2023 02:10:36.94009,15.60
19-Jun-2023 02:00:36.94009,15.60
19-Jun-2023 01:50:36.94009,15.60
19-Jun-2023 01:40:36.94009,15.60
19-Jun-2023 01:30:36.94009,15.60
19-Jun-2023 01:29:54.12766,15.70
19-Jun-2023 01:19:54.12766,15.70
19-Jun-2023 01:09:54.12766,15.70
19-Jun-2023 00:59:54.12766,15.70
19-Jun-2023 00:49:54.12766,15.70
19-Jun-2023 00:39:54.12766,15.70
19-Jun-2023 00:29:54.12766,15.70
19-Jun-2023 00:19:54.12766,15.70
19-Jun-2023 00:09:54.12766,15.70
19-Jun-2023 00:04:13.74918,16.00
18-Jun-2023 23:54:13.74918,16.00
18-Jun-2023 23:44:13.74918,16.00
18-Jun-2023 23:34:13.74918,16.00
18-Jun-2023 23:24:13.74918,16.00
18-Jun-2023 23:14:13.74918,16.00
18-Jun-2023 23:04:13.74918,16.00
18-Jun-2023 22:54:13.74918,16.00
18-Jun-2023 22:44:13.74918,16.00
18-Jun-2023 22:34:13.74918,16.00
18-Jun-2023 22:24:13.74918,16.00
18-Jun-2023 22:14:13.74918,16.00
18-Jun-2023 22:04:13.74918,16.00
18-Jun-2023 21:54:13.74918,16.00
18-Jun-2023 21:54:11.73288,16.10
18-Jun-2023 21:44:11.73288,16.10
18-Jun-2023 21:34:11.73288,16.10
18-Jun-2023 21:24:11.73288,16.10
18-Jun-2023 21:14:11.73288,16.10
18-Jun-2023 21:04:11.73288,16.10
18-Jun-2023 20:54:11.73288,16.10
