ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
20/05/2024 19:44,16.3,4.4,1.317,41279,47.9,28.4,0.494,0.494,0.53625,47.87958196,28.42744719
20/05/2024 12:14,16.3,3.64,1.308,41227,50.5,28.2,0.543,0.549,0.53625,52.12313464,28.21108085
20/05/2024 04:04,15.2,4.05,1.306,41345,50.9,25.8,0.543,0.549,0.50625,50.46864911,25.78109413
19/05/2024 23:54,16.5,4.25,1.308,41128,50.9,27.4,0.543,0.549,0.50625,49.69370727,27.36616702
19/05/2024 19:34,16.4,4.05,1.316,41843,47.7,27.5,0.543,0.549,0.50625,50.13463432,27.46802603
19/05/2024 16:04,16.8,3.9,1.297,41616,53.6,26.8,0.543,0.549,0.50625,55.83118316,26.75505932
19/05/2024 03:34,16.35,4,1.316,43002,47.6,25.9,0.471,0.441,0.546,48.16173303,25.90513612
18/05/2024 19:34,16.2,4.53,1.314,43370,48.3,25.9,0.471,0.441,0.546,47.20612882,25.87463557
18/05/2024 16:34,16.6,4.25,1.321,42241,46.6,27.3,0.471,0.441,0.546,46.81528268,28.57333227
18/05/2024 12:04,16.6,4.55,1.319,42737,46.6,27.3,0.39,0.441,0.546,46.96275743,27.32475482
18/05/2024 08:44,16.7,3.8,1.318,40807,47.2,28.8,0.39,0.39,0.546,47.87728519,28.77361432
18/05/2024 03:34,16.7,3.9,1.312,40541,49.2,25.3,0.39,0.39,0.43575,49.19169078,25.29533096
17/05/2024 19:34,15.8,4.05,1.309,41825,49.5,26,0.39,0.39,0.43575,52.16651839,26.02199041
17/05/2024 11:34,16.2,3.74,1.32,42235,46.6,27.6,0.387,0.38,0.43575,46.69443983,27.61849878
17/05/2024 08:14,19.05,3.64,1.32,42759,46.4,25,0.387,0.38,0.43575,46.86884489,24.99576407
16/05/2024 19:54,16.5,3.7,1.306,40922,49.9,24.5,0.387,0.38,0.39,50.88000998,24.47997575
16/05/2024 08:24,16.64,4.45,1.302,40852,52.2,28.9,0.36,0.4,0.39,51.69574918,24.79471449
