Name,\\pi3\MKP_LAB449SO4%,
Data Type,Float 32,
Number of Values,15311,
Time,Value,Value Attributes
02/03/2023 16:20:45.3,4.05,
02/03/2023 16:10:45.3,4.05,
02/03/2023 16:00:45.3,4.05,
02/03/2023 15:50:45.3,4.05,
02/03/2023 15:40:45.3,4.05,
02/03/2023 15:30:45.3,4.05,
02/03/2023 15:20:45.3,4.05,
02/03/2023 15:10:45.3,4.05,
02/03/2023 15:00:45.3,4.05,
02/03/2023 14:50:45.3,4.05,
02/03/2023 14:40:45.3,4.05,
02/03/2023 14:30:45.3,4.05,
02/03/2023 14:20:45.3,4.05,
02/03/2023 14:10:45.3,4.05,
02/03/2023 14:00:45.3,4.05,
02/03/2023 13:50:45.3,4.05,
02/03/2023 13:40:45.3,4.05,
02/03/2023 13:30:45.3,4.05,
02/03/2023 13:20:45.3,4.05,
02/03/2023 13:10:45.3,4.05,
02/03/2023 13:00:45.3,4.05,
02/03/2023 12:50:45.3,4.05,
02/03/2023 12:40:45.3,4.05,
02/03/2023 12:30:45.3,4.05,
02/03/2023 12:20:45.3,4.05,
02/03/2023 12:10:45.3,4.05,
02/03/2023 12:00:45.3,4.05,
02/03/2023 11:50:45.3,4.05,
02/03/2023 11:40:45.3,4.05,
02/03/2023 11:30:45.3,4.05,
02/03/2023 11:20:45.3,4.05,
02/03/2023 11:10:45.3,4.05,
02/03/2023 11:00:45.3,4.05,
02/03/2023 10:50:45.3,4.05,
02/03/2023 10:40:45.3,4.05,
02/03/2023 10:30:45.3,4.05,
02/03/2023 10:20:45.3,4.05,
02/03/2023 10:10:45.3,4.05,
02/03/2023 10:00:45.3,4.05,
02/03/2023 09:50:45.3,4.05,
02/03/2023 09:40:45.3,4.05,
02/03/2023 09:30:45.3,4.05,
02/03/2023 09:20:45.3,4.05,
02/03/2023 09:10:45.3,4.05,
02/03/2023 09:00:45.3,4.05,
02/03/2023 08:50:45.3,4.05,
02/03/2023 08:40:45.3,4.05,
02/03/2023 08:30:45.3,4.05,
02/03/2023 08:20:45.3,4.05,
02/03/2023 08:10:45.3,4.05,
02/03/2023 08:00:45.3,4.05,
02/03/2023 07:50:45.3,4.05,
02/03/2023 07:40:45.3,4.05,
02/03/2023 07:30:45.3,4.05,
02/03/2023 07:20:45.3,4.05,
02/03/2023 07:10:45.3,4.05,
02/03/2023 07:00:45.3,4.05,
02/03/2023 06:50:45.3,4.05,
02/03/2023 06:40:45.3,4.05,
02/03/2023 06:30:45.3,4.05,
02/03/2023 06:20:45.3,4.05,
02/03/2023 06:10:45.3,4.05,
02/03/2023 06:00:45.3,4.05,
02/03/2023 05:50:45.3,4.05,
02/03/2023 05:40:45.3,4.05,
02/03/2023 05:30:45.3,4.05,
02/03/2023 05:20:45.3,4.05,
02/03/2023 05:10:45.3,4.05,
02/03/2023 05:00:45.3,4.05,
02/03/2023 04:50:45.3,4.05,
02/03/2023 04:40:45.3,4.05,
02/03/2023 04:30:45.3,4.05,
02/03/2023 04:20:45.3,4.05,
02/03/2023 04:10:45.3,4.05,
02/03/2023 04:00:45.3,4.05,
02/03/2023 03:50:45.3,4.05,
02/03/2023 03:40:45.3,4.05,
02/03/2023 03:30:45.3,4.05,
02/03/2023 03:20:45.3,4.05,
02/03/2023 03:10:45.3,4.05,
02/03/2023 03:00:45.3,4.05,
02/03/2023 02:50:45.3,4.05,
02/03/2023 02:40:45.3,4.05,
02/03/2023 02:30:45.3,4.05,
02/03/2023 02:20:45.3,4.05,
02/03/2023 02:10:45.3,4.05,
02/03/2023 02:00:45.3,4.05,
02/03/2023 01:50:45.3,4.05,
02/03/2023 01:40:45.3,4.05,
02/03/2023 01:30:45.3,4.05,
02/03/2023 01:20:45.3,4.05,
02/03/2023 01:10:45.3,4.05,
02/03/2023 01:00:45.3,4.05,
02/03/2023 00:50:45.3,4.05,
02/03/2023 00:40:45.3,4.05,
02/03/2023 00:30:45.3,4.05,
02/03/2023 00:20:45.3,4.05,
02/03/2023 00:10:45.3,4.05,
02/03/2023 00:00:45.3,4.05,
01/03/2023 23:50:45.3,4.05,
01/03/2023 23:40:45.3,4.05,
01/03/2023 23:30:45.3,4.05,
01/03/2023 23:20:45.3,4.05,
01/03/2023 23:10:45.3,4.05,
01/03/2023 23:00:45.3,4.05,
01/03/2023 22:50:45.3,4.05,
01/03/2023 22:40:45.3,4.05,
01/03/2023 22:30:45.3,4.05,
01/03/2023 22:20:45.3,4.05,
01/03/2023 22:10:45.3,4.05,
01/03/2023 22:00:45.3,4.05,
01/03/2023 21:50:45.3,4.05,
01/03/2023 21:40:45.3,4.05,
01/03/2023 21:30:45.3,4.05,
01/03/2023 21:20:45.3,4.05,
01/03/2023 21:10:45.3,4.05,
01/03/2023 21:00:45.3,4.05,
01/03/2023 20:50:45.3,4.05,
01/03/2023 20:40:45.3,4.05,
01/03/2023 20:30:45.3,4.05,
01/03/2023 20:20:45.3,4.05,
01/03/2023 20:10:45.3,4.05,
01/03/2023 20:00:45.3,4.05,
01/03/2023 19:50:45.3,4.05,
01/03/2023 19:40:45.3,4.05,
01/03/2023 19:30:45.3,4.05,
01/03/2023 19:20:45.3,4.05,
01/03/2023 19:10:45.3,4.05,
01/03/2023 19:00:45.3,4.05,
01/03/2023 18:50:45.3,4.05,
01/03/2023 18:40:45.3,4.05,
01/03/2023 18:30:45.3,4.05,
01/03/2023 18:20:45.3,4.05,
01/03/2023 18:10:45.3,4.05,
01/03/2023 18:00:45.3,4.05,
01/03/2023 17:50:45.3,4.05,
01/03/2023 17:40:45.3,4.05,
01/03/2023 17:30:45.3,4.05,
01/03/2023 17:20:45.3,4.05,
01/03/2023 17:10:45.3,4.05,
01/03/2023 17:00:45.3,4.05,
01/03/2023 16:50:45.3,4.05,
01/03/2023 16:40:45.3,4.05,
01/03/2023 16:30:45.3,4.05,
01/03/2023 16:20:45.3,4.05,
01/03/2023 16:10:45.3,4.05,
01/03/2023 16:00:45.3,4.05,
01/03/2023 15:50:45.3,4.05,
01/03/2023 15:40:45.3,4.05,
01/03/2023 15:30:45.3,4.05,
01/03/2023 15:20:45.3,4.05,
01/03/2023 15:10:45.3,4.05,
01/03/2023 15:00:45.3,4.05,
01/03/2023 14:50:45.3,4.05,
01/03/2023 14:40:45.3,4.05,
01/03/2023 14:30:45.3,4.05,
01/03/2023 14:20:45.3,4.05,
01/03/2023 14:10:45.3,4.05,
01/03/2023 14:00:45.3,4.05,
01/03/2023 13:50:45.3,4.05,
