Time,\\pi3\LR09144901L%P2O5,\\pi3\MKP_LAB449SO4%,\\pi3\MKP_DT_40450
07/10/2023 23:24:24.983,15.15,,
07/10/2023 23:19:58.968,,4.45,
07/10/2023 23:19:21.931,,,1.1923
07/10/2023 23:18:10.485,,,1.1952
07/10/2023 23:17:08.147,,,1.2147
07/10/2023 23:14:24.983,15.15,,
07/10/2023 23:13:02.965,,,1.2153
07/10/2023 23:11:58.489,,,1.1937
07/10/2023 23:09:58.968,,4.45,
07/10/2023 23:05:24.153,,,1.1953
07/10/2023 23:04:24.983,15.15,,
07/10/2023 22:59:58.968,,4.45,
07/10/2023 22:54:24.983,15.15,,
07/10/2023 22:50:31.317,,,1.198
07/10/2023 22:49:58.968,,4.45,
07/10/2023 22:49:31.096,,,1.2002
07/10/2023 22:47:53.040,,,1.2101
07/10/2023 22:46:45.615,,,1.219
07/10/2023 22:44:24.983,15.15,,
07/10/2023 22:39:58.968,,4.45,
07/10/2023 22:37:47.508,,,1.2033
07/10/2023 22:34:24.983,15.15,,
07/10/2023 22:29:58.968,,4.45,
07/10/2023 22:27:46.919,,,1.1988
07/10/2023 22:26:46.634,,,1.205
07/10/2023 22:24:24.983,15.15,,
07/10/2023 22:22:23.066,,,1.2014
07/10/2023 22:19:58.968,,4.45,
07/10/2023 22:17:55.920,,,1.2045
07/10/2023 22:16:47.318,,,1.2026
07/10/2023 22:14:24.983,15.15,,
07/10/2023 22:09:58.968,,4.45,
07/10/2023 22:09:14.874,,,1.2016
07/10/2023 22:07:34.777,,,1.2031
07/10/2023 22:04:24.983,15.15,,
07/10/2023 22:03:58.087,,,1.2003
07/10/2023 22:02:37.345,,,1.1983
07/10/2023 22:00:51.173,,,1.1981
07/10/2023 21:59:58.968,,4.45,
07/10/2023 21:59:29.549,,,1.1963
07/10/2023 21:58:29.203,,,1.1862
07/10/2023 21:57:18.817,,,1.1954
07/10/2023 21:54:24.983,15.15,,
07/10/2023 21:49:58.968,,4.45,
07/10/2023 21:48:43.259,,,1.185
07/10/2023 21:44:24.983,15.15,,
07/10/2023 21:41:32.277,,,1.1584
07/10/2023 21:39:58.968,,4.45,
07/10/2023 21:38:56.002,,,1.137
07/10/2023 21:36:20.674,,,1.1099
07/10/2023 21:34:24.983,15.15,,
07/10/2023 21:29:58.968,,4.45,
07/10/2023 21:24:24.983,15.15,,
07/10/2023 21:19:58.968,,4.45,
07/10/2023 21:14:24.983,15.15,,
07/10/2023 21:09:58.968,,4.45,
07/10/2023 21:04:24.983,15.15,,
07/10/2023 20:59:58.968,,4.45,
07/10/2023 20:54:24.983,15.15,,
07/10/2023 20:49:58.968,,4.45,
07/10/2023 20:44:24.983,15.15,,
07/10/2023 20:39:58.968,,4.45,
07/10/2023 20:34:24.983,15.15,,
07/10/2023 20:29:58.968,,4.45,
07/10/2023 20:24:24.983,15.15,,
07/10/2023 20:19:58.968,,4.45,
07/10/2023 20:14:24.983,15.15,,
07/10/2023 20:09:58.968,,4.45,
07/10/2023 20:04:24.983,15.15,,
07/10/2023 19:59:58.968,,4.45,
07/10/2023 19:55:24.121,,,1.1068
07/10/2023 19:54:24.983,15.15,,
07/10/2023 19:49:58.968,,4.45,
07/10/2023 19:44:24.983,15.15,,
07/10/2023 19:39:58.968,,4.45,
07/10/2023 19:34:24.983,15.15,,
07/10/2023 19:29:58.968,,4.45,
07/10/2023 19:24:24.983,15.15,,
07/10/2023 19:19:58.968,,4.45,
07/10/2023 19:14:24.983,15.15,,
07/10/2023 19:09:58.968,,4.45,
07/10/2023 19:04:24.983,15.15,,
07/10/2023 18:59:58.968,,4.45,
07/10/2023 18:54:24.983,15.15,,
07/10/2023 18:49:58.968,,4.45,
07/10/2023 18:44:24.983,15.15,,
07/10/2023 18:39:58.968,,4.45,
07/10/2023 18:34:24.983,15.15,,
07/10/2023 18:29:58.968,,4.45,
07/10/2023 18:24:24.983,15.15,,
07/10/2023 18:19:58.968,,4.45,
07/10/2023 18:14:24.983,15.15,,
07/10/2023 18:09:58.968,,4.45,
07/10/2023 18:04:24.983,15.15,,
07/10/2023 17:59:58.968,,4.45,
07/10/2023 17:58:09.216,,,1.1
07/10/2023 17:57:02.917,,,1.1097
07/10/2023 17:54:24.983,15.15,,
07/10/2023 17:49:58.968,,4.45,
07/10/2023 17:44:29.214,,,1.122
07/10/2023 17:44:24.983,15.15,,
07/10/2023 17:39:58.968,,4.45,
07/10/2023 17:34:24.983,15.15,,
07/10/2023 17:29:58.968,,4.45,
07/10/2023 17:24:24.983,15.15,,
07/10/2023 17:21:48.628,,,1.1539
07/10/2023 17:19:58.968,,4.45,
07/10/2023 17:18:28.303,,,1.1572
07/10/2023 17:14:24.983,15.15,,
07/10/2023 17:09:58.968,,4.45,
07/10/2023 17:04:24.983,15.15,,
07/10/2023 17:00:34.482,,,1.1948
07/10/2023 16:59:58.968,,4.45,
07/10/2023 16:58:02.249,,,1.2
07/10/2023 16:56:54.933,,,1.2172
07/10/2023 16:55:40.322,,,1.2178
07/10/2023 16:54:24.983,15.15,,
07/10/2023 16:52:19.050,,,1.2204
07/10/2023 16:50:29.722,,,1.2167
07/10/2023 16:49:58.968,,4.45,
07/10/2023 16:47:13.679,,,1.2192
07/10/2023 16:45:38.753,,,1.2191
07/10/2023 16:44:24.983,15.15,,
07/10/2023 16:42:03.030,,,1.2063
07/10/2023 16:40:52.556,,,1.2191
07/10/2023 16:39:58.968,,4.45,
07/10/2023 16:35:50.333,,,1.2178
07/10/2023 16:34:28.558,,,1.2174
07/10/2023 16:34:24.983,15.15,,
07/10/2023 16:29:58.968,,4.45,
07/10/2023 16:28:26.698,,,1.2157
07/10/2023 16:24:24.983,15.15,,
07/10/2023 16:23:11.085,,,1.2073
07/10/2023 16:21:44.185,,,1.2075
07/10/2023 16:19:58.968,,4.45,
