Name,\\pi3\LRSILOMKPSCL (ppm)
Data Type,Float 32
Number of Values,99
Time,Value,Value Attributes
2-Mar-2023 14:05:17,162
1-Mar-2023 13:42:57,77
28-Feb-2023 13:44:04,39
27-Feb-2023 13:39:07,56
26-Feb-2023 13:32:51,72
26-Feb-2023 13:13:55,60
24-Feb-2023 12:51:32,57
23-Feb-2023 13:55:20,70
22-Feb-2023 14:07:38,50
21-Feb-2023 14:42:38,78
21-Feb-2023 07:54:15,60
19-Feb-2023 14:29:01,57
19-Feb-2023 14:23:38,60
17-Feb-2023 13:42:06,86
16-Feb-2023 13:38:18,132
15-Feb-2023 13:52:48,126
13-Feb-2023 12:32:28,159
12-Feb-2023 13:21:39,118
12-Feb-2023 13:17:05,87
10-Feb-2023 12:35:22,68
9-Feb-2023 14:47:45,118
8-Feb-2023 14:05:11,46
7-Feb-2023 12:02:00,54
6-Feb-2023 13:57:23,75
5-Feb-2023 13:32:15,45
4-Feb-2023 13:08:04,65
3-Feb-2023 12:32:23,48
2-Feb-2023 13:34:48,77
1-Feb-2023 14:43:49,62
1-Feb-2023 14:35:20,93
31-Jan-2023 14:12:52,65
30-Jan-2023 14:21:29,60
29-Jan-2023 14:04:12,49
28-Jan-2023 12:33:56,56
27-Jan-2023 12:48:43,106
26-Jan-2023 12:09:31,102
25-Jan-2023 11:53:17,46
24-Jan-2023 12:54:10,44
23-Jan-2023 13:10:28,44
22-Jan-2023 14:12:14,45
22-Jan-2023 14:01:25,50
20-Jan-2023 13:17:32,63
19-Jan-2023 12:53:29,23
18-Jan-2023 13:08:37,70
17-Jan-2023 13:11:02,51
16-Jan-2023 09:14:39,57
15-Jan-2023 13:50:48,51
15-Jan-2023 13:45:00,64
13-Jan-2023 09:21:28,61
12-Jan-2023 14:20:10,43
11-Jan-2023 13:35:35,35
10-Jan-2023 13:15:49,35
9-Jan-2023 13:39:44,33
8-Jan-2023 11:33:34,27
8-Jan-2023 11:31:55,53
6-Jan-2023 13:21:17,133
5-Jan-2023 14:02:15,57
3-Jan-2023 11:51:00,68
2-Jan-2023 11:38:23,92
1-Jan-2023 14:25:24,75
1-Jan-2023 14:07:24,77
30-Dec-2022 12:17:01,99
29-Dec-2022 13:56:28,74
28-Dec-2022 13:47:39,53
27-Dec-2022 13:14:26,55
26-Dec-2022 11:34:07,68
25-Dec-2022 14:34:27,41
24-Dec-2022 13:14:44,61
23-Dec-2022 13:49:50,103
22-Dec-2022 12:04:14,71
21-Dec-2022 11:42:04,61
20-Dec-2022 12:13:34,42
19-Dec-2022 12:03:20,157
18-Dec-2022 11:57:58,39
18-Dec-2022 11:56:59,44
16-Dec-2022 10:15:02,34
15-Dec-2022 13:55:54,34
14-Dec-2022 13:34:16,21
13-Dec-2022 14:37:53,22
12-Dec-2022 13:19:10,31
11-Dec-2022 14:06:07,21
11-Dec-2022 13:58:12,25
9-Dec-2022 13:19:03,49
8-Dec-2022 14:29:54,36
7-Dec-2022 11:57:47,35
6-Dec-2022 13:31:40,77
5-Dec-2022 12:56:30,52
4-Dec-2022 12:45:51,34
4-Dec-2022 12:41:42,30
2-Dec-2022 11:05:00,17
1-Dec-2022 13:55:48,22
30-Nov-2022 11:18:42,36
29-Nov-2022 11:51:41,171
28-Nov-2022 11:39:09,31
27-Nov-2022 11:47:08,24
26-Nov-2022 11:01:03,21
25-Nov-2022 13:10:51,67
25-Nov-2022 13:07:16,4
24-Nov-2022 13:48:08,728
