Name,\\pi3\LRSILOMKPSNa2O
19-Sep-2022 14:14:53,106
18-Sep-2022 13:38:50,250
18-Sep-2022 13:17:05,167
16-Sep-2022 13:07:17,215
15-Sep-2022 13:27:01,450
14-Sep-2022 13:36:01,117
13-Sep-2022 13:29:27,174
12-Sep-2022 14:01:14,103.3
11-Sep-2022 13:29:07,108.75
10-Sep-2022 11:24:24,124
9-Sep-2022 11:51:19,113,S
8-Sep-2022 12:20:28,159
6-Sep-2022 13:16:01,97
5-Sep-2022 13:15:04,104
4-Sep-2022 14:08:27,109
4-Sep-2022 12:25:41,109
2-Sep-2022 13:14:10,182
1-Sep-2022 14:45:03,133
31-Aug-2022 13:20:26,126
30-Aug-2022 08:23:15,134
29-Aug-2022 07:54:45,128
28-Aug-2022 08:34:50,128
28-Aug-2022 08:33:55,134
26-Aug-2022 12:34:15,140
25-Aug-2022 13:00:46,177
24-Aug-2022 13:16:53,150
23-Aug-2022 12:54:19,114
22-Aug-2022 13:05:34,137
21-Aug-2022 13:46:22,136
21-Aug-2022 13:38:32,112
