Name,\\pi3\MKP_DT_40450
Data Type,Float 32
Number of Values,24505
Time,Value,Value Attributes
20-Jun-2023 16:08:24.35954,1.31
20-Jun-2023 16:07:39.59869,1.30
20-Jun-2023 16:05:59.91335,1.30
20-Jun-2023 16:04:10.89441,1.30
20-Jun-2023 15:57:50.17915,1.30
20-Jun-2023 15:54:50.97174,1.30
20-Jun-2023 15:49:57.77307,1.31
20-Jun-2023 15:48:57.64624,1.29
20-Jun-2023 15:46:28.95978,1.30
20-Jun-2023 15:42:07.1541,1.31
20-Jun-2023 15:40:47.34201,1.29
20-Jun-2023 15:12:44.30882,1.30
20-Jun-2023 15:03:54.23805,1.30
20-Jun-2023 15:02:50.12798,1.30
20-Jun-2023 14:58:56.99013,1.31
20-Jun-2023 14:57:01.83685,1.30
20-Jun-2023 14:55:08.56558,1.30
20-Jun-2023 14:49:44.26591,1.31
20-Jun-2023 14:48:12.41206,1.30
20-Jun-2023 14:46:17.24074,1.30
20-Jun-2023 14:40:48.7198,1.30
20-Jun-2023 14:38:20.9064,1.30
20-Jun-2023 14:37:20.63255,1.30
20-Jun-2023 14:31:36.68265,1.30
20-Jun-2023 14:29:51.58496,1.31
20-Jun-2023 14:25:03.95564,1.30
20-Jun-2023 14:24:01.76868,1.30
20-Jun-2023 14:22:39.06641,1.30
20-Jun-2023 14:17:07.17027,1.30
20-Jun-2023 14:15:38.42062,1.30
20-Jun-2023 14:13:50.11072,1.30
20-Jun-2023 14:11:21.65526,1.31
20-Jun-2023 14:07:37.843,1.30
20-Jun-2023 14:06:33.37891,1.31
20-Jun-2023 14:05:27.80772,1.30
20-Jun-2023 14:04:18.23129,1.30
20-Jun-2023 14:00:26.56053,1.31
20-Jun-2023 13:57:44.67622,1.29
20-Jun-2023 13:55:48.61084,1.30
20-Jun-2023 13:48:21.95239,1.30
20-Jun-2023 13:46:44.33318,1.30
20-Jun-2023 13:44:31.97974,1.31
20-Jun-2023 13:42:18.74025,1.30
20-Jun-2023 13:40:23.82294,1.29
20-Jun-2023 13:39:21.76698,1.30
20-Jun-2023 13:34:03.38271,1.30
20-Jun-2023 13:32:44.05865,1.30
20-Jun-2023 13:31:33.88618,1.30
20-Jun-2023 13:30:32.85629,1.30
20-Jun-2023 13:25:31.88713,1.31
20-Jun-2023 13:23:59.30223,1.30
20-Jun-2023 13:22:51.15889,1.30
20-Jun-2023 13:20:12.43678,1.31
20-Jun-2023 13:17:23.66003,1.30
20-Jun-2023 13:16:04.29797,1.29
20-Jun-2023 13:14:49.04419,1.30
20-Jun-2023 13:12:46.96741,1.31
20-Jun-2023 13:09:55.95052,1.30
20-Jun-2023 13:07:46.72629,1.30
20-Jun-2023 13:02:22.25862,1.30
20-Jun-2023 12:59:36.48706,1.30
20-Jun-2023 12:52:58.58272,1.30
20-Jun-2023 12:51:11.74892,1.30
20-Jun-2023 12:49:52.38786,1.30
20-Jun-2023 12:46:33.17317,1.31
20-Jun-2023 12:43:28.93944,1.29
20-Jun-2023 12:41:16.73701,1.30
20-Jun-2023 12:34:47.14621,1.31
