Name,\\pi3\LR09144901L%P2O5
Data Type,Float 32
Number of Values,31245
Time,Value,Value Attributes
22-Mar-2023 09:14:08.12262,16.6
22-Mar-2023 09:04:08.12262,16.6
22-Mar-2023 08:54:08.12262,16.6
22-Mar-2023 08:48:49.85153,16.5
22-Mar-2023 08:38:49.85153,16.5
22-Mar-2023 08:28:49.85153,16.5
22-Mar-2023 08:18:49.85153,16.5
22-Mar-2023 08:08:49.85153,16.5
22-Mar-2023 07:58:49.85153,16.5
22-Mar-2023 07:48:49.85153,16.5
22-Mar-2023 07:38:49.85153,16.5
22-Mar-2023 07:28:49.85153,16.5
22-Mar-2023 07:18:49.85153,16.5
22-Mar-2023 07:08:49.85153,16.5
22-Mar-2023 06:58:49.85153,16.5
22-Mar-2023 06:48:49.85153,16.5
22-Mar-2023 06:38:49.85153,16.5
22-Mar-2023 06:29:30.9153,16.4
22-Mar-2023 06:19:30.9153,16.4
22-Mar-2023 06:09:30.9153,16.4
22-Mar-2023 05:59:30.9153,16.4
22-Mar-2023 05:49:30.9153,16.4
22-Mar-2023 05:39:30.9153,16.4
22-Mar-2023 05:29:30.9153,16.4
22-Mar-2023 05:19:30.9153,16.4
22-Mar-2023 05:09:30.9153,16.4
22-Mar-2023 04:59:30.9153,16.4
22-Mar-2023 04:49:30.9153,16.4
22-Mar-2023 04:39:30.9153,16.4
22-Mar-2023 04:29:30.9153,16.4
22-Mar-2023 04:19:30.9153,16.4
22-Mar-2023 04:09:30.9153,16.4
22-Mar-2023 03:59:30.9153,16.4
22-Mar-2023 03:49:30.9153,16.4
22-Mar-2023 03:39:30.9153,16.4
22-Mar-2023 03:31:54.13135,16.8
22-Mar-2023 03:21:54.13135,16.8
22-Mar-2023 03:11:54.13135,16.8
22-Mar-2023 03:01:54.13135,16.8
22-Mar-2023 02:51:54.13135,16.8
22-Mar-2023 02:41:54.13135,16.8
22-Mar-2023 02:31:54.13135,16.8
22-Mar-2023 02:21:54.13135,16.8
22-Mar-2023 02:11:54.13135,16.8
22-Mar-2023 02:01:54.13135,16.8
22-Mar-2023 01:51:54.13135,16.8
22-Mar-2023 01:41:54.13135,16.8
22-Mar-2023 01:31:54.13135,16.8
22-Mar-2023 01:26:41.86159,16.71
22-Mar-2023 01:16:41.86159,16.71
22-Mar-2023 01:06:41.86159,16.71
22-Mar-2023 00:56:41.86159,16.71
22-Mar-2023 00:46:41.86159,16.71
22-Mar-2023 00:36:41.86159,16.71
22-Mar-2023 00:26:41.86159,16.71
22-Mar-2023 00:16:41.86159,16.71
22-Mar-2023 00:06:41.86159,16.71
21-Mar-2023 23:56:41.86159,16.71
21-Mar-2023 23:47:51.90387,16.4
21-Mar-2023 23:37:51.90387,16.4
21-Mar-2023 23:27:51.90387,16.4
21-Mar-2023 23:17:51.90387,16.4
21-Mar-2023 23:07:51.90387,16.4
21-Mar-2023 22:57:51.90387,16.4
21-Mar-2023 22:47:51.90387,16.4
21-Mar-2023 22:37:51.90387,16.4
21-Mar-2023 22:27:51.90387,16.4
21-Mar-2023 22:17:51.90387,16.4
21-Mar-2023 22:16:45.52361,16
21-Mar-2023 21:36:45.52361,16
21-Mar-2023 21:26:45.52361,16
21-Mar-2023 21:16:45.52361,16
21-Mar-2023 21:06:45.52361,16
21-Mar-2023 20:56:45.52361,16
21-Mar-2023 20:46:45.52361,16
21-Mar-2023 20:36:45.52361,16
21-Mar-2023 20:26:45.52361,16
21-Mar-2023 20:16:45.52361,16
21-Mar-2023 20:06:45.52361,16
21-Mar-2023 19:56:45.52361,16
21-Mar-2023 19:55:00.13509,16.6
21-Mar-2023 19:45:00.13509,16.6
21-Mar-2023 19:35:00.13509,16.6
21-Mar-2023 19:25:00.13509,16.6
21-Mar-2023 19:15:00.13509,16.6
21-Mar-2023 19:05:00.13509,16.6
21-Mar-2023 18:55:00.13509,16.6
21-Mar-2023 18:45:00.13509,16.6
21-Mar-2023 18:35:00.13509,16.6
21-Mar-2023 18:25:00.13509,16.6
21-Mar-2023 18:15:00.13509,16.6
21-Mar-2023 18:05:00.13509,16.6
21-Mar-2023 17:55:00.13509,16.6
21-Mar-2023 17:45:00.13509,16.6
21-Mar-2023 17:35:00.13509,16.6
21-Mar-2023 17:25:00.13509,16.6
21-Mar-2023 17:15:00.13509,16.6
21-Mar-2023 17:05:00.13509,16.6
21-Mar-2023 16:55:00.13509,16.6
21-Mar-2023 16:45:00.13509,16.6
21-Mar-2023 16:35:00.13509,16.6
21-Mar-2023 16:25:00.13509,16.6
21-Mar-2023 16:15:00.13509,16.6
21-Mar-2023 16:05:00.13509,16.6
21-Mar-2023 15:57:10.31569,16.5
21-Mar-2023 15:47:10.31569,16.5
21-Mar-2023 15:37:10.31569,16.5
21-Mar-2023 15:27:10.31569,16.5
21-Mar-2023 15:17:10.31569,16.5
21-Mar-2023 15:07:10.31569,16.5
21-Mar-2023 14:57:10.31569,16.5
21-Mar-2023 14:47:10.31569,16.5
21-Mar-2023 14:37:10.31569,16.5
21-Mar-2023 14:27:10.31569,16.5
21-Mar-2023 14:17:10.31569,16.5
21-Mar-2023 14:07:10.31569,16.5
21-Mar-2023 13:57:10.31569,16.5
21-Mar-2023 13:49:10.97202,16.6
21-Mar-2023 13:39:10.97202,16.6
21-Mar-2023 13:29:10.97202,16.6
21-Mar-2023 13:19:10.97202,16.6
21-Mar-2023 13:09:10.97202,16.6
21-Mar-2023 12:59:10.97202,16.6
21-Mar-2023 12:49:10.97202,16.6
21-Mar-2023 12:39:10.97202,16.6
21-Mar-2023 12:29:10.97202,16.6
21-Mar-2023 12:19:10.97202,16.6
21-Mar-2023 12:09:10.97202,16.6
21-Mar-2023 11:59:10.97202,16.6
21-Mar-2023 11:49:10.97202,16.6
21-Mar-2023 11:39:10.97202,16.6
21-Mar-2023 11:29:10.97202,16.6
21-Mar-2023 11:19:10.97202,16.6
21-Mar-2023 11:09:10.97202,16.6
21-Mar-2023 10:59:10.97202,16.6
21-Mar-2023 10:49:10.97202,16.6
21-Mar-2023 10:39:10.97202,16.6
21-Mar-2023 10:29:10.97202,16.6
21-Mar-2023 10:19:10.97202,16.6
21-Mar-2023 10:09:10.97202,16.6
21-Mar-2023 09:59:10.97202,16.6
21-Mar-2023 09:49:10.97202,16.6
21-Mar-2023 09:39:10.97202,16.6
21-Mar-2023 09:29:10.97202,16.6
21-Mar-2023 09:19:10.97202,16.6
21-Mar-2023 09:09:10.97202,16.6
21-Mar-2023 08:59:10.97202,16.6
21-Mar-2023 08:49:10.97202,16.6
21-Mar-2023 08:39:10.97202,16.6
21-Mar-2023 08:29:10.97202,16.6
21-Mar-2023 08:19:10.97202,16.6
21-Mar-2023 08:09:10.97202,16.6
21-Mar-2023 07:59:10.97202,16.6
21-Mar-2023 07:49:10.97202,16.6
21-Mar-2023 07:39:10.97202,16.6
21-Mar-2023 07:29:10.97202,16.6
21-Mar-2023 07:19:10.97202,16.6
21-Mar-2023 07:09:10.97202,16.6
21-Mar-2023 06:59:10.97202,16.6
21-Mar-2023 06:49:10.97202,16.6
21-Mar-2023 06:39:10.97202,16.6
21-Mar-2023 06:29:10.97202,16.6
21-Mar-2023 06:27:17.14128,16.2
21-Mar-2023 06:17:17.14128,16.2
21-Mar-2023 06:07:17.14128,16.2
21-Mar-2023 05:57:17.14128,16.2
21-Mar-2023 05:47:17.14128,16.2
21-Mar-2023 05:37:17.14128,16.2
21-Mar-2023 05:27:17.14128,16.2
21-Mar-2023 05:17:17.14128,16.2
21-Mar-2023 05:07:17.14128,16.2
21-Mar-2023 04:57:17.14128,16.2
21-Mar-2023 04:47:17.14128,16.2
21-Mar-2023 04:37:17.14128,16.2
21-Mar-2023 04:27:17.14128,16.2
21-Mar-2023 04:17:17.14128,16.2
21-Mar-2023 04:07:17.14128,16.2
21-Mar-2023 03:57:17.14128,16.2
21-Mar-2023 03:47:17.14128,16.2
21-Mar-2023 03:43:20.9207,16.4
21-Mar-2023 03:33:20.9207,16.4
21-Mar-2023 03:23:20.9207,16.4
21-Mar-2023 03:13:20.9207,16.4
21-Mar-2023 03:03:20.9207,16.4
21-Mar-2023 02:53:20.9207,16.4
21-Mar-2023 02:43:20.9207,16.4
21-Mar-2023 02:33:20.9207,16.4
21-Mar-2023 02:23:20.9207,16.4
21-Mar-2023 02:13:20.9207,16.4
21-Mar-2023 02:03:20.9207,16.4
21-Mar-2023 01:53:20.9207,16.4
21-Mar-2023 01:43:20.9207,16.4
21-Mar-2023 01:34:24.95439,16.6
21-Mar-2023 01:24:24.95439,16.6
21-Mar-2023 01:14:24.95439,16.6
21-Mar-2023 01:04:24.95439,16.6
21-Mar-2023 00:54:24.95439,16.6
21-Mar-2023 00:44:24.95439,16.6
21-Mar-2023 00:34:24.95439,16.6
21-Mar-2023 00:24:24.95439,16.6
21-Mar-2023 00:14:24.95439,16.6
21-Mar-2023 00:04:24.95439,16.6
20-Mar-2023 23:54:24.95439,16.6
20-Mar-2023 23:44:42.33211,16.4
20-Mar-2023 23:34:42.33211,16.4
20-Mar-2023 23:24:42.33211,16.4
20-Mar-2023 23:14:42.33211,16.4
20-Mar-2023 23:04:42.33211,16.4
20-Mar-2023 22:54:42.33211,16.4
20-Mar-2023 22:44:42.33211,16.4
20-Mar-2023 22:34:42.33211,16.4
20-Mar-2023 22:24:42.33211,16.4
20-Mar-2023 22:14:42.33211,16.4
20-Mar-2023 22:04:42.33211,16.4
20-Mar-2023 21:54:42.33211,16.4
20-Mar-2023 21:49:47.65678,16.35
20-Mar-2023 21:39:47.65678,16.35
20-Mar-2023 21:29:47.65678,16.35
20-Mar-2023 21:19:47.65678,16.35
20-Mar-2023 21:09:47.65678,16.35
20-Mar-2023 20:59:47.65678,16.35
20-Mar-2023 20:49:47.65678,16.35
20-Mar-2023 20:39:47.65678,16.35
20-Mar-2023 20:29:47.65678,16.35
20-Mar-2023 20:19:47.65678,16.35
20-Mar-2023 20:09:47.65678,16.35
20-Mar-2023 19:59:47.65678,16.35
20-Mar-2023 19:49:47.65678,16.35
20-Mar-2023 19:46:27.65587,16.3
20-Mar-2023 19:36:27.65587,16.3
20-Mar-2023 19:26:27.65587,16.3
20-Mar-2023 19:16:27.65587,16.3
20-Mar-2023 19:06:27.65587,16.3
20-Mar-2023 18:56:27.65587,16.3
20-Mar-2023 18:46:27.65587,16.3
20-Mar-2023 18:36:27.65587,16.3
20-Mar-2023 18:26:27.65587,16.3
20-Mar-2023 18:16:27.65587,16.3
20-Mar-2023 18:06:27.65587,16.3
20-Mar-2023 18:04:43.02005,16.4
20-Mar-2023 17:54:43.02005,16.4
20-Mar-2023 17:44:43.02005,16.4
20-Mar-2023 17:34:43.02005,16.4
20-Mar-2023 17:24:43.02005,16.4
20-Mar-2023 17:14:43.02005,16.4
20-Mar-2023 17:04:43.02005,16.4
20-Mar-2023 16:54:43.02005,16.4
20-Mar-2023 16:44:43.02005,16.4
20-Mar-2023 16:34:43.02005,16.4
20-Mar-2023 16:24:43.02005,16.4
20-Mar-2023 16:17:26.12607,16.49
20-Mar-2023 16:07:26.12607,16.49
20-Mar-2023 15:57:26.12607,16.49
20-Mar-2023 15:47:26.12607,16.49
20-Mar-2023 15:37:26.12607,16.49
20-Mar-2023 15:27:26.12607,16.49
20-Mar-2023 15:17:26.12607,16.49
20-Mar-2023 15:07:26.12607,16.49
20-Mar-2023 14:57:26.12607,16.49
20-Mar-2023 14:47:26.12607,16.49
20-Mar-2023 14:37:26.12607,16.49
20-Mar-2023 14:27:26.12607,16.49
20-Mar-2023 14:17:26.12607,16.49
20-Mar-2023 14:07:26.12607,16.49
20-Mar-2023 13:57:26.12607,16.49
20-Mar-2023 13:47:26.12607,16.49
20-Mar-2023 13:37:26.12607,16.49
20-Mar-2023 13:27:26.12607,16.49
20-Mar-2023 13:17:26.12607,16.49
20-Mar-2023 13:07:26.12607,16.49
20-Mar-2023 12:57:26.12607,16.49
20-Mar-2023 12:47:26.12607,16.49
20-Mar-2023 12:37:26.12607,16.49
20-Mar-2023 12:27:26.12607,16.49
20-Mar-2023 12:17:26.12607,16.49
20-Mar-2023 12:07:26.12607,16.49
20-Mar-2023 11:57:26.12607,16.49
20-Mar-2023 11:47:26.12607,16.49
20-Mar-2023 11:37:26.12607,16.49
20-Mar-2023 11:27:26.12607,16.49
20-Mar-2023 11:17:26.12607,16.49
20-Mar-2023 11:07:26.12607,16.49
20-Mar-2023 10:57:26.12607,16.49
20-Mar-2023 10:47:26.12607,16.49
20-Mar-2023 10:37:26.12607,16.49
20-Mar-2023 10:27:26.12607,16.49
20-Mar-2023 10:17:26.12607,16.49
20-Mar-2023 10:07:26.12607,16.49
20-Mar-2023 09:57:26.12607,16.49
20-Mar-2023 09:47:26.12607,16.49
20-Mar-2023 09:37:26.12607,16.49
20-Mar-2023 09:27:26.12607,16.49
20-Mar-2023 09:17:26.12607,16.49
20-Mar-2023 09:07:26.12607,16.49
20-Mar-2023 08:57:26.12607,16.49
20-Mar-2023 08:47:26.12607,16.49
20-Mar-2023 08:37:26.12607,16.49
20-Mar-2023 08:27:26.12607,16.49
20-Mar-2023 08:17:26.12607,16.49
20-Mar-2023 08:07:26.12607,16.49
20-Mar-2023 07:57:26.12607,16.49
20-Mar-2023 07:47:26.12607,16.49
20-Mar-2023 07:37:26.12607,16.49
20-Mar-2023 07:27:26.12607,16.49
20-Mar-2023 07:17:26.12607,16.49
20-Mar-2023 07:07:26.12607,16.49
20-Mar-2023 06:57:26.12607,16.49
20-Mar-2023 06:47:26.12607,16.49
20-Mar-2023 06:37:26.12607,16.49
20-Mar-2023 06:27:26.12607,16.49
20-Mar-2023 06:17:26.12607,16.49
20-Mar-2023 06:07:26.12607,16.49
20-Mar-2023 05:57:26.12607,16.49
20-Mar-2023 05:47:26.12607,16.49
20-Mar-2023 05:37:26.12607,16.49
20-Mar-2023 05:27:26.12607,16.49
20-Mar-2023 05:17:26.12607,16.49
20-Mar-2023 05:07:26.12607,16.49
20-Mar-2023 04:57:26.12607,16.49
20-Mar-2023 04:47:26.12607,16.49
20-Mar-2023 04:37:26.12607,16.49
20-Mar-2023 04:27:26.12607,16.49
20-Mar-2023 04:17:26.12607,16.49
20-Mar-2023 04:07:26.12607,16.49
20-Mar-2023 03:57:26.12607,16.49
20-Mar-2023 03:47:26.12607,16.49
20-Mar-2023 03:37:26.12607,16.49
20-Mar-2023 03:32:03.63271,16.58
20-Mar-2023 03:22:03.63271,16.58
20-Mar-2023 03:12:03.63271,16.58
20-Mar-2023 03:02:03.63271,16.58
20-Mar-2023 02:52:03.63271,16.58
20-Mar-2023 02:42:03.63271,16.58
20-Mar-2023 02:32:03.63271,16.58
20-Mar-2023 02:22:03.63271,16.58
