Name,\\pi3\mkp_dt_40450
Data Type,Float 32
Number of Values,38085
Time,Value,Value Attributes
22-Mar-2023 09:18:42.66853,1.2929
22-Mar-2023 09:12:51.00714,1.2963
22-Mar-2023 09:11:39.6946,1.29
22-Mar-2023 09:08:28.15239,1.2957
22-Mar-2023 09:06:47.19196,1.2972
22-Mar-2023 09:00:26.1357,1.2895
22-Mar-2023 08:59:22.95168,1.2948
22-Mar-2023 08:52:47.7235,1.2915
22-Mar-2023 08:49:32.05403,1.2938
22-Mar-2023 08:43:50.83229,1.2937
22-Mar-2023 08:40:27.07431,1.2917
22-Mar-2023 08:35:19.27472,1.2955
22-Mar-2023 08:34:01.91679,1.232
22-Mar-2023 08:33:01.89096,1.292
22-Mar-2023 08:31:12.80502,1.2947
22-Mar-2023 08:24:28.26324,1.2916
22-Mar-2023 08:21:10.39565,1.2938
22-Mar-2023 08:14:33.17435,1.2917
22-Mar-2023 08:11:33.91792,1.2941
22-Mar-2023 08:03:32.81628,1.2923
22-Mar-2023 07:57:14.6982,1.2955
22-Mar-2023 07:55:56.19519,1.291
22-Mar-2023 07:52:20.28143,1.2942
22-Mar-2023 07:45:58.06009,1.2911
22-Mar-2023 07:42:40.39151,1.2934
22-Mar-2023 07:37:03.32503,1.2915
22-Mar-2023 07:30:03.5853,1.2953
22-Mar-2023 07:28:10.47809,1.2907
22-Mar-2023 07:24:48.40022,1.2921
22-Mar-2023 07:14:59.00069,1.2909
22-Mar-2023 07:10:55.37817,1.2926
22-Mar-2023 07:02:17.8502,1.2944
22-Mar-2023 07:00:48.31549,1.2897
22-Mar-2023 06:57:44.98782,1.2928
22-Mar-2023 06:52:31.14783,1.291
22-Mar-2023 06:49:59.47917,1.2924
22-Mar-2023 06:43:07.74495,1.2924
22-Mar-2023 06:39:32.89526,1.2923
22-Mar-2023 06:31:58.38533,1.2921
22-Mar-2023 06:28:35.54442,1.2938
22-Mar-2023 06:27:33.43047,1.289
22-Mar-2023 06:25:16.0177,1.2919
22-Mar-2023 06:17:56.21573,1.2885
22-Mar-2023 06:15:11.11922,1.2905
22-Mar-2023 06:11:51.5565,1.2941
22-Mar-2023 06:09:38.14101,1.2895
22-Mar-2023 06:06:56.09169,1.2916
22-Mar-2023 05:59:47.83241,1.2884
22-Mar-2023 05:56:41.28253,1.2922
