Name,\\pi3\LRSILOMKPS%SO4
Data Type,Float 32
Number of Values,193
Time,Value,Value Attributes
21-Mar-2023 13:29:52,0.335
20-Mar-2023 13:13:02,0.295
19-Mar-2023 14:21:58,0.362
19-Mar-2023 14:14:55,0.391
17-Mar-2023 13:19:20,0.37
16-Mar-2023 14:05:30,0.36
15-Mar-2023 13:43:40,0.35
14-Mar-2023 14:20:31,0.36
13-Mar-2023 13:35:03,0.36
12-Mar-2023 14:09:25,0.37
12-Mar-2023 13:57:31,0.36
12-Mar-2023 13:46:45,0.32
9-Mar-2023 13:16:45,0.368
8-Mar-2023 13:40:07,0.424
6-Mar-2023 12:17:49,0.345
5-Mar-2023 11:58:35,0.3325
5-Mar-2023 11:47:08,0.33
3-Mar-2023 13:19:33,0.3
2-Mar-2023 14:05:17,0.76
1-Mar-2023 13:42:57,0.374
28-Feb-2023 13:44:04,0.438
27-Feb-2023 13:39:07,0.467
26-Feb-2023 13:32:51,0.4835
26-Feb-2023 13:13:55,0.491
24-Feb-2023 12:51:32,0.45
23-Feb-2023 13:55:20,0.39
22-Feb-2023 14:07:38,0.38
21-Feb-2023 14:42:38,0.3
21-Feb-2023 07:54:15,0.3
19-Feb-2023 14:29:01,0.4
19-Feb-2023 14:23:38,0.38
17-Feb-2023 13:42:06,0.446
16-Feb-2023 13:38:18,0.377
15-Feb-2023 13:52:48,0.614
13-Feb-2023 12:32:28,0.567
12-Feb-2023 13:21:39,0.595
12-Feb-2023 13:17:05,0.515
10-Feb-2023 12:35:22,0.573
9-Feb-2023 14:47:45,0.611
8-Feb-2023 14:05:11,0.42
7-Feb-2023 12:02:00,0.482
6-Feb-2023 13:57:23,0.483
5-Feb-2023 13:32:15,0.483
4-Feb-2023 13:08:04,0.474
3-Feb-2023 12:32:23,0.486
2-Feb-2023 13:34:48,0.56
1-Feb-2023 14:43:49,0.53
1-Feb-2023 14:35:20,0.56
31-Jan-2023 14:12:52,0.47
30-Jan-2023 14:21:29,0.6
29-Jan-2023 14:04:12,0.59
28-Jan-2023 12:33:56,0.503
27-Jan-2023 12:48:43,0.556
26-Jan-2023 12:09:31,0.855
25-Jan-2023 11:53:17,0.72
24-Jan-2023 12:54:10,0.55
23-Jan-2023 13:10:28,0.576
22-Jan-2023 14:12:14,0.687
22-Jan-2023 14:01:25,0.712
20-Jan-2023 13:17:32,0.57
19-Jan-2023 12:53:29,0.386
18-Jan-2023 13:08:37,0.43
17-Jan-2023 13:11:02,0.396
16-Jan-2023 09:14:39,0.454
15-Jan-2023 13:50:48,0.491
15-Jan-2023 13:45:00,0.512
13-Jan-2023 09:21:28,0.547
12-Jan-2023 14:20:10,0.538
11-Jan-2023 13:35:35,0.563
10-Jan-2023 13:15:49,0.639
9-Jan-2023 13:39:44,0.536
8-Jan-2023 11:33:34,0.51
8-Jan-2023 11:31:55,0.442
6-Jan-2023 13:21:17,0.425
5-Jan-2023 14:02:15,0.456
3-Jan-2023 11:51:00,0.53
2-Jan-2023 11:38:23,0.618
1-Jan-2023 14:25:24,0.63
1-Jan-2023 14:07:24,0.6
30-Dec-2022 12:17:01,0.396
29-Dec-2022 13:56:28,0.507
28-Dec-2022 13:47:39,0.442
27-Dec-2022 13:14:26,0.564
26-Dec-2022 11:34:07,0.528
25-Dec-2022 14:34:27,0.457
24-Dec-2022 13:14:44,0.66
23-Dec-2022 13:49:50,0.508
22-Dec-2022 12:04:14,0.425
21-Dec-2022 11:42:04,0.53
20-Dec-2022 12:13:34,0.517
19-Dec-2022 12:03:20,0.574
18-Dec-2022 11:57:58,0.586
18-Dec-2022 11:56:59,0.399
16-Dec-2022 10:15:02,0.394
15-Dec-2022 13:55:54,0.375
14-Dec-2022 13:34:16,0.349
13-Dec-2022 14:37:53,0.376
12-Dec-2022 13:19:10,0.456
11-Dec-2022 14:06:07,0.49
11-Dec-2022 13:58:12,0.43
9-Dec-2022 13:19:03,0.36
8-Dec-2022 14:29:54,0.433
7-Dec-2022 11:57:47,0.51
6-Dec-2022 13:31:40,0.37
5-Dec-2022 12:56:30,0.38
4-Dec-2022 12:45:51,0.369
4-Dec-2022 12:41:42,0.356
2-Dec-2022 11:05:00,0.293
1-Dec-2022 13:55:48,0.31
30-Nov-2022 11:18:42,0.298
29-Nov-2022 11:51:41,0.509
28-Nov-2022 11:39:09,0.375
27-Nov-2022 11:47:08,0.31
26-Nov-2022 11:01:03,0.294
25-Nov-2022 13:10:51,0.384
25-Nov-2022 13:07:16,0.324
24-Nov-2022 13:48:08,1
6-Nov-2022 11:15:50,0.367
4-Nov-2022 12:19:39,0.288
3-Nov-2022 13:05:42,0.338
2-Nov-2022 13:31:37,0.337
2-Nov-2022 13:26:33,0.351
31-Oct-2022 13:25:22,0.367
30-Oct-2022 13:25:58,0.352
30-Oct-2022 13:19:09,0.391
28-Oct-2022 12:58:52,0.391
27-Oct-2022 12:47:51,0.368
26-Oct-2022 11:28:35,0.341
25-Oct-2022 13:30:34,0.362
24-Oct-2022 11:16:59,0.385
23-Oct-2022 13:10:32,0.394
23-Oct-2022 13:05:59,0.427
21-Oct-2022 12:50:32,0.372
20-Oct-2022 11:43:05,0.312
19-Oct-2022 10:18:56,0.301
18-Oct-2022 11:45:23,0.329
18-Oct-2022 11:44:04,0.301
16-Oct-2022 12:18:18,0.319
16-Oct-2022 12:15:20,0.303
14-Oct-2022 13:48:28,0.34
13-Oct-2022 13:17:00,0.341
12-Oct-2022 13:13:43,0.331
11-Oct-2022 11:36:53,0.39
10-Oct-2022 13:30:54,0.302
9-Oct-2022 11:48:06,0.328
9-Oct-2022 11:47:01,0.335
7-Oct-2022 11:21:31,0.328
6-Oct-2022 11:42:57,0.396
4-Oct-2022 11:12:47,0.371
