Name,\\pi3\MKP_LAB449SO4%
Data Type,Float 32
Number of Values,30581
Time,Value,Value Attributes
22-Mar-2023 09:16:13.53581,3.64
22-Mar-2023 09:06:13.53581,3.64
22-Mar-2023 09:02:59.45364,3.5
22-Mar-2023 08:52:59.45364,3.5
22-Mar-2023 08:42:59.45364,3.5
22-Mar-2023 08:32:59.45364,3.5
22-Mar-2023 08:22:59.45364,3.5
22-Mar-2023 08:12:59.45364,3.5
22-Mar-2023 08:02:59.45364,3.5
22-Mar-2023 07:52:59.45364,3.5
22-Mar-2023 07:42:59.45364,3.5
22-Mar-2023 07:32:59.45364,3.5
22-Mar-2023 07:22:59.45364,3.5
22-Mar-2023 07:12:59.45364,3.5
22-Mar-2023 07:02:59.45364,3.5
22-Mar-2023 06:52:59.45364,3.5
22-Mar-2023 06:42:59.45364,3.5
22-Mar-2023 06:32:59.45364,3.5
22-Mar-2023 06:22:59.45364,3.5
22-Mar-2023 06:12:59.45364,3.5
22-Mar-2023 06:02:59.45364,3.5
22-Mar-2023 05:52:59.45364,3.5
22-Mar-2023 05:42:59.45364,3.5
22-Mar-2023 05:32:59.45364,3.5
22-Mar-2023 05:22:59.45364,3.5
22-Mar-2023 05:12:59.45364,3.5
22-Mar-2023 05:02:59.45364,3.5
22-Mar-2023 04:52:59.45364,3.5
22-Mar-2023 04:42:59.45364,3.5
22-Mar-2023 04:32:59.45364,3.5
22-Mar-2023 04:22:59.45364,3.5
22-Mar-2023 04:12:59.45364,3.5
22-Mar-2023 04:02:59.45364,3.5
22-Mar-2023 03:52:59.45364,3.5
22-Mar-2023 03:42:59.45364,3.5
22-Mar-2023 03:32:59.45364,3.5
22-Mar-2023 03:22:59.45364,3.5
22-Mar-2023 03:12:59.45364,3.5
22-Mar-2023 03:02:59.45364,3.5
22-Mar-2023 02:52:59.45364,3.5
22-Mar-2023 02:42:59.45364,3.5
22-Mar-2023 02:32:59.45364,3.5
22-Mar-2023 02:22:59.45364,3.5
22-Mar-2023 02:12:59.45364,3.5
22-Mar-2023 02:02:59.45364,3.5
22-Mar-2023 01:52:59.45364,3.5
22-Mar-2023 01:42:59.45364,3.5
22-Mar-2023 01:32:59.45364,3.5
22-Mar-2023 01:22:59.45364,3.5
22-Mar-2023 01:12:59.45364,3.5
22-Mar-2023 01:02:59.45364,3.5
22-Mar-2023 00:52:59.45364,3.5
22-Mar-2023 00:42:59.45364,3.5
22-Mar-2023 00:32:59.45364,3.5
22-Mar-2023 00:22:59.45364,3.5
22-Mar-2023 00:12:59.45364,3.5
22-Mar-2023 00:02:59.45364,3.5
21-Mar-2023 23:52:59.45364,3.5
21-Mar-2023 23:42:59.45364,3.5
21-Mar-2023 23:32:59.45364,3.5
21-Mar-2023 23:22:59.45364,3.5
21-Mar-2023 23:12:59.45364,3.5
21-Mar-2023 23:02:59.45364,3.5
21-Mar-2023 22:52:59.45364,3.5
21-Mar-2023 22:42:59.45364,3.5
21-Mar-2023 22:32:59.45364,3.5
21-Mar-2023 22:22:59.45364,3.5
21-Mar-2023 22:12:59.45364,3.5
21-Mar-2023 21:32:59.45364,3.5
21-Mar-2023 21:22:59.45364,3.5
21-Mar-2023 21:12:59.45364,3.5
21-Mar-2023 21:02:59.45364,3.5
21-Mar-2023 20:52:59.45364,3.5
21-Mar-2023 20:42:59.45364,3.5
21-Mar-2023 20:32:59.45364,3.5
21-Mar-2023 20:22:59.45364,3.5
21-Mar-2023 20:12:59.45364,3.5
21-Mar-2023 20:07:17.12929,3.7
21-Mar-2023 19:57:17.12929,3.7
21-Mar-2023 19:47:17.12929,3.7
21-Mar-2023 19:37:17.12929,3.7
21-Mar-2023 19:27:17.12929,3.7
21-Mar-2023 19:17:17.12929,3.7
21-Mar-2023 19:07:17.12929,3.7
21-Mar-2023 18:57:17.12929,3.7
21-Mar-2023 18:47:17.12929,3.7
21-Mar-2023 18:37:17.12929,3.7
21-Mar-2023 18:27:17.12929,3.7
21-Mar-2023 18:17:17.12929,3.7
21-Mar-2023 18:07:17.12929,3.7
21-Mar-2023 17:57:17.12929,3.7
21-Mar-2023 17:47:17.12929,3.7
21-Mar-2023 17:37:17.12929,3.7
21-Mar-2023 17:27:17.12929,3.7
21-Mar-2023 17:17:17.12929,3.7
21-Mar-2023 17:07:17.12929,3.7
21-Mar-2023 16:57:17.12929,3.7
21-Mar-2023 16:47:17.12929,3.7
21-Mar-2023 16:37:17.12929,3.7
21-Mar-2023 16:27:17.12929,3.7
21-Mar-2023 16:17:17.12929,3.7
21-Mar-2023 16:07:17.12929,3.7
21-Mar-2023 15:57:17.12929,3.7
21-Mar-2023 15:47:17.12929,3.7
21-Mar-2023 15:37:17.12929,3.7
21-Mar-2023 15:27:17.12929,3.7
21-Mar-2023 15:17:17.12929,3.7
21-Mar-2023 15:07:17.12929,3.7
21-Mar-2023 14:57:17.12929,3.7
21-Mar-2023 14:47:17.12929,3.7
21-Mar-2023 14:37:17.12929,3.7
21-Mar-2023 14:27:17.12929,3.7
21-Mar-2023 14:17:17.12929,3.7
21-Mar-2023 14:07:17.12929,3.7
21-Mar-2023 13:57:17.12929,3.7
21-Mar-2023 13:47:17.12929,3.7
21-Mar-2023 13:37:17.12929,3.7
21-Mar-2023 13:27:17.12929,3.7
21-Mar-2023 13:17:17.12929,3.7
21-Mar-2023 13:07:17.12929,3.7
21-Mar-2023 12:57:17.12929,3.7
21-Mar-2023 12:47:17.12929,3.7
21-Mar-2023 12:37:17.12929,3.7
21-Mar-2023 12:27:17.12929,3.7
21-Mar-2023 12:17:17.12929,3.7
21-Mar-2023 12:07:17.12929,3.7
21-Mar-2023 11:57:17.12929,3.7
21-Mar-2023 11:47:17.12929,3.7
21-Mar-2023 11:37:17.12929,3.7
21-Mar-2023 11:27:17.12929,3.7
21-Mar-2023 11:17:17.12929,3.7
21-Mar-2023 11:07:17.12929,3.7
21-Mar-2023 10:57:17.12929,3.7
21-Mar-2023 10:47:17.12929,3.7
21-Mar-2023 10:37:17.12929,3.7
21-Mar-2023 10:27:17.12929,3.7
21-Mar-2023 10:17:17.12929,3.7
21-Mar-2023 10:07:17.12929,3.7
21-Mar-2023 09:57:17.12929,3.7
21-Mar-2023 09:47:17.12929,3.7
21-Mar-2023 09:37:17.12929,3.7
21-Mar-2023 09:27:17.12929,3.7
21-Mar-2023 09:17:17.12929,3.7
21-Mar-2023 09:07:17.12929,3.7
21-Mar-2023 08:57:17.12929,3.7
21-Mar-2023 08:47:17.12929,3.7
21-Mar-2023 08:37:17.12929,3.7
21-Mar-2023 08:27:17.12929,3.7
21-Mar-2023 08:17:17.12929,3.7
21-Mar-2023 08:07:17.12929,3.7
21-Mar-2023 07:57:17.12929,3.7
21-Mar-2023 07:47:17.12929,3.7
21-Mar-2023 07:37:17.12929,3.7
21-Mar-2023 07:27:17.12929,3.7
21-Mar-2023 07:17:17.12929,3.7
21-Mar-2023 07:07:17.12929,3.7
21-Mar-2023 06:57:17.12929,3.7
21-Mar-2023 06:47:17.12929,3.7
