Name,\\rotem3\FIC-40425
Data Type,Float 32
Number of Values,50407
Time,Value,Value Attributes
2-Mar-2023 23:54:35.02277,27.459
2-Mar-2023 23:30:51.31108,26.694
2-Mar-2023 23:29:42.92273,28.277
2-Mar-2023 23:28:42.81891,28.085
2-Mar-2023 23:25:50.67993,26.295
2-Mar-2023 23:24:42.41959,28.541
2-Mar-2023 23:23:12.75888,26.801
2-Mar-2023 23:21:18.46561,28.549
2-Mar-2023 23:20:17.3177,26.209
2-Mar-2023 23:18:54.90546,26.853
2-Mar-2023 23:17:52.7755,29.16
2-Mar-2023 23:16:50.71454,28.859
2-Mar-2023 22:20:05.00261,28.328
2-Mar-2023 21:19:00.86122,27.547
2-Mar-2023 20:39:58.62804,26.428
2-Mar-2023 20:37:00.11165,28.388
2-Mar-2023 20:35:58.1127,26.603
2-Mar-2023 20:31:23.94923,25.737
2-Mar-2023 20:30:22.77335,25.65
2-Mar-2023 20:19:01.34995,26.963
2-Mar-2023 19:33:06.13046,27.295
2-Mar-2023 19:30:04.85791,28.84
2-Mar-2023 19:28:25.78061,27.36
2-Mar-2023 19:22:19.85332,28.7
2-Mar-2023 19:20:10.47607,27.601
2-Mar-2023 19:15:42.14398,28.651
2-Mar-2023 19:12:37.72325,27.527
2-Mar-2023 19:11:08.13254,28.818
2-Mar-2023 19:09:41.37601,27.394
2-Mar-2023 19:05:53.84354,28.155
2-Mar-2023 19:02:02.59181,28.838
2-Mar-2023 19:00:18.62119,27.512
2-Mar-2023 18:54:22.37053,28.057
2-Mar-2023 18:52:48.60555,28.176
2-Mar-2023 18:46:20.24182,29.13
2-Mar-2023 18:45:19.06493,28.935
2-Mar-2023 18:41:16.29346,27.331
2-Mar-2023 18:40:12.98343,28.665
2-Mar-2023 18:38:35.1022,27.659
2-Mar-2023 18:36:36.84267,29.244
2-Mar-2023 18:35:36.62683,28.106
2-Mar-2023 18:34:35.42192,26.988
2-Mar-2023 18:33:35.2551,28.132
2-Mar-2023 18:27:13.50578,27.76
2-Mar-2023 18:25:32.36234,28.976
2-Mar-2023 18:24:32.16951,27.866
2-Mar-2023 18:20:52.52951,28.446
2-Mar-2023 18:19:07.0278,28.663
2-Mar-2023 18:11:55.76534,29.752
2-Mar-2023 18:08:44.35913,29.418
2-Mar-2023 17:55:07.05408,30.763
2-Mar-2023 17:54:06.92624,27.555
2-Mar-2023 17:53:06.86842,28.815
2-Mar-2023 17:51:44.49518,30.282
2-Mar-2023 17:50:43.36629,30.478
2-Mar-2023 17:43:58.28348,29.216
2-Mar-2023 17:21:19.1799,29.706
2-Mar-2023 17:19:41.46968,30.068
2-Mar-2023 17:18:41.40086,30.585
2-Mar-2023 16:49:35.52565,30.867
2-Mar-2023 16:47:59.81555,31.047
2-Mar-2023 16:45:33.07521,31.477
2-Mar-2023 16:43:44.07426,32.693
2-Mar-2023 16:42:43.80544,30.575
2-Mar-2023 16:39:33.79134,30.822
2-Mar-2023 16:38:22.47179,31.689
2-Mar-2023 16:37:22.30896,31.612
2-Mar-2023 16:34:02.38322,30.631
2-Mar-2023 16:33:01.34633,32.554
2-Mar-2023 16:32:01.27151,31.449
2-Mar-2023 16:31:00.21262,31.317
2-Mar-2023 16:28:41.80681,31.051
2-Mar-2023 16:27:40.76091,31.087
2-Mar-2023 16:26:36.65384,30.858
2-Mar-2023 16:20:38.98305,30.095
2-Mar-2023 16:19:38.94223,30.33
2-Mar-2023 16:18:37.80133,33.995
2-Mar-2023 16:13:39.49834,33.151
2-Mar-2023 16:00:38.02757,33.959
2-Mar-2023 15:59:36.83067,34.142
2-Mar-2023 15:55:57.52971,33.873
2-Mar-2023 15:54:56.53482,34.551
2-Mar-2023 15:53:56.50101,34.626
2-Mar-2023 15:52:26.77429,33.13
2-Mar-2023 15:51:22.56619,35.426
2-Mar-2023 15:50:21.3223,33.68
2-Mar-2023 15:49:20.00139,35.799
2-Mar-2023 15:48:18.55449,31.628
2-Mar-2023 15:47:17.3956,33.835
2-Mar-2023 15:46:15.09763,35.581
2-Mar-2023 15:45:14.9648,32.307
2-Mar-2023 15:44:14.82596,33.575
2-Mar-2023 15:43:14.60413,34.555
2-Mar-2023 15:32:59.00493,33.376
2-Mar-2023 15:31:58.9021,33.545
2-Mar-2023 15:30:56.73814,32.516
2-Mar-2023 15:29:55.54825,34.903
2-Mar-2023 15:27:16.09114,34.048
2-Mar-2023 15:26:15.89627,33.552
2-Mar-2023 15:25:15.80644,38.076
2-Mar-2023 15:24:15.68761,35.05
2-Mar-2023 15:23:15.52979,33.742
2-Mar-2023 15:16:45.60994,33.567
2-Mar-2023 15:15:44.41905,33.862
2-Mar-2023 15:11:39.43245,34.443
2-Mar-2023 15:10:39.1116,32.549
2-Mar-2023 15:09:38.85776,34.642
2-Mar-2023 15:08:37.55286,33.223
2-Mar-2023 15:07:25.07324,34.372
2-Mar-2023 15:05:44.05481,35.631
2-Mar-2023 15:04:42.76991,31.35
2-Mar-2023 15:03:41.64301,33.339
2-Mar-2023 14:54:38.47943,33.305
2-Mar-2023 14:53:38.19658,33.276
2-Mar-2023 14:52:36.79167,51.608
2-Mar-2023 14:51:25.39212,51.578
2-Mar-2023 14:49:52.65321,9.2775
2-Mar-2023 14:48:51.53932,2.7381
2-Mar-2023 14:43:31.33592,1.9245
2-Mar-2023 14:42:31.23509,3.9581
2-Mar-2023 14:38:48.14389,2.1296
2-Mar-2023 14:36:20.24648,0.056759
2-Mar-2023 14:33:23.00218,2.9982
2-Mar-2023 14:26:58.58569,4.4419
2-Mar-2023 14:25:08.48668,3.96
2-Mar-2023 14:23:38.86597,1.8332
2-Mar-2023 14:19:48.23128,0.71041
2-Mar-2023 14:18:48.12045,0.26875
2-Mar-2023 14:16:56.86636,3.4722
2-Mar-2023 14:15:12.90074,3.6263
2-Mar-2023 14:13:42.16296,6.8288
2-Mar-2023 14:11:57.27129,7.1762
2-Mar-2023 14:10:41.73547,11.943
2-Mar-2023 14:06:15.72153,12.499
2-Mar-2023 14:04:58.3586,11.858
2-Mar-2023 13:59:01.66489,14.059
2-Mar-2023 13:55:25.45111,17.185
2-Mar-2023 13:54:25.29828,39.379
2-Mar-2023 13:50:58.3111,39.829
2-Mar-2023 13:49:58.26828,38.618
2-Mar-2023 13:48:57.15538,39.444
2-Mar-2023 13:46:03.96735,40.539
2-Mar-2023 13:16:00.48547,39.893
2-Mar-2023 13:06:51.98154,39.203
2-Mar-2023 12:49:20.59058,40.002
2-Mar-2023 12:35:16.2458,40.928
2-Mar-2023 12:34:16.16098,39.426
2-Mar-2023 12:32:45.5242,39.375
2-Mar-2023 12:30:46.42761,40.198
2-Mar-2023 12:29:41.22845,39.214
2-Mar-2023 12:15:33.78249,40.606
2-Mar-2023 12:14:30.77547,39.649
2-Mar-2023 12:09:14.43832,40.193
2-Mar-2023 12:08:11.09329,40.838
2-Mar-2023 12:06:47.30595,39.199
2-Mar-2023 11:55:11.17162,40.878
2-Mar-2023 11:54:07.07652,39.766
2-Mar-2023 11:52:59.88625,39.01
2-Mar-2023 11:45:50.16289,40.481
2-Mar-2023 11:44:09.39346,39.213
2-Mar-2023 11:31:38.58163,40.384
2-Mar-2023 11:30:37.47675,39.227
2-Mar-2023 11:11:47.17876,40.537
2-Mar-2023 11:10:47.10393,39.505
2-Mar-2023 11:04:45.6799,39.86
2-Mar-2023 11:03:38.57663,39.963
2-Mar-2023 10:56:25.63506,40.755
2-Mar-2023 10:55:09.2912,39.257
2-Mar-2023 10:54:08.1953,40.801
2-Mar-2023 10:53:08.15448,39.497
2-Mar-2023 10:42:27.52068,39.022
2-Mar-2023 10:41:25.28572,40.184
2-Mar-2023 10:39:04.73576,39.77
2-Mar-2023 10:34:05.77171,41.139
2-Mar-2023 10:33:04.61882,39.04
2-Mar-2023 10:27:45.37949,39.954
2-Mar-2023 10:22:30.40343,40.42
2-Mar-2023 10:21:30.1866,39.703
2-Mar-2023 10:20:23.94537,37.482
2-Mar-2023 10:19:05.40538,42.17
2-Mar-2023 10:18:05.14053,40.558
2-Mar-2023 10:16:46.61453,39.638
2-Mar-2023 10:15:22.9572,39.25
2-Mar-2023 10:14:20.69324,37.881
2-Mar-2023 10:13:06.23349,42.163
2-Mar-2023 10:12:06.01166,49.124
2-Mar-2023 10:11:05.76782,47.126
2-Mar-2023 10:10:05.56398,35.555
2-Mar-2023 10:09:05.37415,40.213
2-Mar-2023 10:06:31.20833,38.724
2-Mar-2023 10:05:13.55138,39.543
2-Mar-2023 10:03:52.82423,39.218
2-Mar-2023 10:02:34.31924,41.051
2-Mar-2023 10:01:33.25134,43.041
2-Mar-2023 10:00:33.09052,49.101
2-Mar-2023 09:59:31.81361,3.9296
2-Mar-2023 09:57:53.86037,3.328
2-Mar-2023 09:56:43.5309,8.5925
2-Mar-2023 09:52:34.75905,9.8802
2-Mar-2023 09:51:28.48283,9.7565
2-Mar-2023 09:50:27.30493,9.0803
2-Mar-2023 09:49:11.97214,8.0301
2-Mar-2023 09:48:10.84824,16.927
2-Mar-2023 09:47:06.68016,25.848
2-Mar-2023 09:44:09.47186,24.363
2-Mar-2023 09:43:09.33504,26.663
2-Mar-2023 09:40:42.59769,28.03
2-Mar-2023 09:38:48.43842,28.14
2-Mar-2023 09:36:27.85046,29.504
2-Mar-2023 09:35:25.68651,31.587
2-Mar-2023 09:34:23.59955,40.218
2-Mar-2023 09:32:45.77533,40.327
2-Mar-2023 09:30:35.33601,39.719
2-Mar-2023 09:20:42.24924,40.137
2-Mar-2023 09:19:42.0154,39.631
2-Mar-2023 09:18:40.8515,39.761
2-Mar-2023 09:17:12.34486,40.459
2-Mar-2023 09:12:52.70633,40.292
2-Mar-2023 09:11:10.82083,41.315
2-Mar-2023 09:10:10.60201,39.771
2-Mar-2023 09:00:39.98065,39.851
2-Mar-2023 08:59:15.22726,39.799
2-Mar-2023 08:55:05.36034,39.76
2-Mar-2023 08:53:13.14719,40.27
2-Mar-2023 08:50:57.63457,40.67
2-Mar-2023 08:49:54.42453,40.004
2-Mar-2023 08:48:37.0406,40.438
2-Mar-2023 08:47:17.42198,40.049
2-Mar-2023 08:46:12.24625,40.546
2-Mar-2023 08:44:13.05241,40.518
2-Mar-2023 08:40:08.59142,40.116
2-Mar-2023 08:37:58.73132,40.481
2-Mar-2023 08:36:34.14256,40.145
2-Mar-2023 08:34:31.80812,39.643
2-Mar-2023 08:29:49.66385,39.962
2-Mar-2023 08:25:02.04688,40.213
2-Mar-2023 08:21:13.84865,40.25
2-Mar-2023 08:12:08.54601,40.003
2-Mar-2023 08:08:55.03168,40.537
2-Mar-2023 08:07:40.45094,39.677
2-Mar-2023 08:02:51.95656,40.388
2-Mar-2023 08:01:05.96881,40.492
2-Mar-2023 07:57:36.34845,40.162
2-Mar-2023 07:56:35.06656,40.329
2-Mar-2023 07:54:50.78391,40.374
2-Mar-2023 07:53:44.35368,40.911
2-Mar-2023 07:51:55.06172,39.612
2-Mar-2023 07:49:38.27501,40.62
2-Mar-2023 07:46:52.49944,39.769
2-Mar-2023 07:45:49.08939,39.689
2-Mar-2023 07:43:12.08539,40.343
2-Mar-2023 07:33:21.11575,40.131
2-Mar-2023 07:28:50.72653,39.889
2-Mar-2023 07:26:07.75714,39.662
2-Mar-2023 07:24:13.57687,39.748
2-Mar-2023 07:23:04.30246,40.523
2-Mar-2023 07:21:40.68813,40.805
2-Mar-2023 07:20:16.11275,39.836
2-Mar-2023 07:18:04.81337,40.55
2-Mar-2023 07:13:54.98747,40.126
2-Mar-2023 07:12:54.92464,39.436
2-Mar-2023 07:11:25.18193,40.144
2-Mar-2023 07:09:10.52235,40.27
2-Mar-2023 07:03:24.91133,40.3
2-Mar-2023 06:52:03.79594,39.713
2-Mar-2023 06:46:33.5289,40.241
2-Mar-2023 06:44:24.95372,40.364
2-Mar-2023 06:40:45.54874,40.288
2-Mar-2023 06:37:18.46655,40.104
2-Mar-2023 06:34:15.05988,39.165
2-Mar-2023 06:32:01.18335,40.387
2-Mar-2023 06:29:58.95157,40.025
2-Mar-2023 06:28:58.72472,40.506
2-Mar-2023 06:27:58.6149,39.459
2-Mar-2023 06:26:49.28947,39.725
2-Mar-2023 06:24:45.85362,41.021
2-Mar-2023 06:23:45.73878,38.799
2-Mar-2023 06:22:43.63983,39.425
2-Mar-2023 06:21:30.22215,40.128
2-Mar-2023 06:20:30.13533,39.769
2-Mar-2023 06:19:28.86743,39.844
2-Mar-2023 06:18:28.7356,40.691
2-Mar-2023 06:17:28.49976,42.313
2-Mar-2023 06:16:28.46494,39.629
2-Mar-2023 06:13:46.51863,39.641
2-Mar-2023 06:09:49.08951,39.525
2-Mar-2023 06:07:16.17276,40.222
2-Mar-2023 06:05:40.16965,39.607
2-Mar-2023 06:04:22.50769,40.361
2-Mar-2023 06:00:10.22563,39.71
2-Mar-2023 05:58:45.66023,43.24
2-Mar-2023 05:57:45.38541,38.883
2-Mar-2023 05:56:45.36258,45.643
2-Mar-2023 05:55:45.17476,39.662
2-Mar-2023 05:51:10.01923,40.054
2-Mar-2023 05:44:55.05734,40.488
2-Mar-2023 05:36:19.28751,40.103
2-Mar-2023 05:35:19.16267,40.761
2-Mar-2023 05:34:19.01784,42.542
2-Mar-2023 05:33:18.867,39.538
