Name,\\pi3\LRSILOMKPSCL (ppm)
Data Type,Float 32
Number of Values,100
Time,Value,Value Attributes
20-Jun-2023 12:13:21,75
19-Jun-2023 12:41:03,51
18-Jun-2023 13:52:38,31
18-Jun-2023 13:47:23,34
16-Jun-2023 12:40:59,32
15-Jun-2023 11:42:50,31
14-Jun-2023 14:10:03,96
12-Jun-2023 13:21:56,52
11-Jun-2023 09:38:00,62
11-Jun-2023 09:09:16,66
9-Jun-2023 12:56:49,79
8-Jun-2023 11:22:15,82
7-Jun-2023 08:57:12,42
6-Jun-2023 13:50:16,33
5-Jun-2023 14:55:06,31
4-Jun-2023 13:43:38,24
4-Jun-2023 13:31:12,24
2-Jun-2023 09:43:59,17
1-Jun-2023 11:33:55,35
31-May-2023 16:03:04,66
29-May-2023 11:48:19,66
28-May-2023 12:02:48,34
28-May-2023 12:01:11,38
26-May-2023 12:00:55,53
25-May-2023 12:39:40,42
24-May-2023 13:14:28,65
23-May-2023 13:26:30,44
22-May-2023 12:01:56,40
20-May-2023 09:45:16,32
19-May-2023 13:10:01,33
18-May-2023 14:45:43,56
17-May-2023 14:13:24,104
16-May-2023 11:30:42,30
16-May-2023 11:26:49,54
14-May-2023 13:43:21,56
14-May-2023 13:36:51,115
14-May-2023 13:32:53,83
9-May-2023 11:36:53,56
8-May-2023 14:25:50,53
7-May-2023 11:29:49,52
7-May-2023 11:22:54,55
5-May-2023 12:56:27,42
4-May-2023 13:02:38,46
3-May-2023 11:32:27,61
2-May-2023 14:05:56,53
1-May-2023 13:28:20,36
30-Apr-2023 13:25:13,51
30-Apr-2023 13:19:16,46
28-Apr-2023 11:44:21,41
27-Apr-2023 14:38:27,70
26-Apr-2023 09:10:05,64
25-Apr-2023 12:28:15,61
24-Apr-2023 13:09:46,63
23-Apr-2023 13:14:49,54
23-Apr-2023 13:08:32,65
21-Apr-2023 12:29:28,62
20-Apr-2023 14:03:23,44
19-Apr-2023 13:56:26,47
18-Apr-2023 14:04:20,55
17-Apr-2023 13:33:36,44
16-Apr-2023 13:25:52,42
16-Apr-2023 13:17:51,46
14-Apr-2023 12:49:21,37
13-Apr-2023 11:38:42,39
13-Apr-2023 11:36:48,42
11-Apr-2023 13:05:09,34
10-Apr-2023 12:20:27,40
10-Apr-2023 10:54:09,29
9-Apr-2023 14:53:19,32
8-Apr-2023 14:07:37,33
8-Apr-2023 14:03:23,41
7-Apr-2023 14:08:12,58
7-Apr-2023 14:03:04,93
4-Apr-2023 13:56:40,33
3-Apr-2023 14:08:30,48
2-Apr-2023 13:50:06,37
2-Apr-2023 11:38:46,58
29-Mar-2023 13:44:07,64
28-Mar-2023 12:54:07,45
27-Mar-2023 13:01:53,36
26-Mar-2023 14:25:50,156
26-Mar-2023 14:10:00,48
24-Mar-2023 12:53:14,55
23-Mar-2023 13:30:23,50
22-Mar-2023 13:21:49,53
21-Mar-2023 13:29:52,60
20-Mar-2023 13:13:02,83
19-Mar-2023 14:21:58,94
19-Mar-2023 14:14:55,83
17-Mar-2023 13:19:20,70
16-Mar-2023 14:05:30,71
15-Mar-2023 13:43:40,97
14-Mar-2023 14:20:31,136
13-Mar-2023 13:35:03,90
12-Mar-2023 14:09:25,86
12-Mar-2023 13:57:31,84
12-Mar-2023 13:46:45,37
9-Mar-2023 13:16:45,12
8-Mar-2023 13:40:07,124
6-Mar-2023 12:17:49,40
